State,Actual CVD Risk (%),Linear Regression CVD Risk (%)
NSW,19.3250885588217,20.273148155698493
Vic.,21.581239019173477,20.753058750691736
Qld,23.337186897880542,23.39056904412699
SA,25.54830727702171,25.907711845339037
WA,23.344235486508587,22.86392726601278
Tas.,28.58164907887677,28.51330669903642
NT,16.2534435261708,16.253422547950066
ACT,21.57741429531705,21.647774600082585
Australia,21.860560228716146,21.80620545954855
